iter	Passed	Remaining
400	30602	7555
401	30675	7478
402	30747	7400
403	30824	7324
404	30899	7248
405	30976	7171
406	31059	7097
407	31143	7022
408	31212	6944
409	31285	6867
410	31370	6793
411	31444	6716
412	31523	6640
413	31599	6564
414	31671	6487
415	31750	6411
416	31826	6334
417	31901	6258
418	31975	6181
419	32055	6105
420	32129	6029
421	32204	5952
422	32277	5875
423	32351	5798
424	32423	5721
425	32494	5644
426	32570	5568
427	32647	5492
428	32721	5415
429	32792	5338
430	32865	5261
431	32945	5185
432	33021	5109
433	33098	5033
434	33182	4958
435	33302	4888
436	33417	4817
437	33505	4742
438	33585	4666
439	33664	4590
440	33738	4513
441	33818	4437
442	33896	4361
443	33972	4284
444	34048	4208
445	34142	4133
446	34221	4057
447	34296	3980
448	34394	3906
449	34479	3831
450	34567	3755
451	34641	3678
452	34735	3603
453	34832	3529
454	34905	3452
455	34981	3375
456	35055	3298
457	35127	3221
458	35203	3144
459	35280	3067
460	35361	2991
461	35462	2916
462	35537	2839
463	35612	2763
464	35684	2685
465	35757	2608
466	35830	2531
467	35908	2455
468	36001	2379
469	36096	2304
470	36182	2227
471	36269	2151
472	36352	2075
473	36435	1998
474	36520	1922
475	36601	1845
476	36680	1768
477	36754	1691
478	36826	1614
479	36897	1537
480	36972	1460
481	37048	1383
482	37127	1306
483	37211	1230
484	37288	1153
485	37364	1076
486	37436	999
487	37512	922
488	37591	845
489	37668	768
490	37740	691
491	37829	615
492	37910	538
493	37988	461
494	38063	384
495	38138	307
496	38218	230
497	38288	153
498	38360	76
499	38435	0
