iter	RMSE
297	159.8607378
298	159.4520891
299	159.2641512
300	158.4766427
301	158.1140898
302	158.0919458
303	157.6766826
304	157.5275049
305	157.0095993
306	156.0676119
307	155.2068456
308	154.7990143
309	154.5655612
310	154.5326605
311	154.249549
312	153.9966313
313	153.5475272
314	153.2175614
315	153.1858993
316	152.9280814
317	152.1989438
318	151.3717809
319	150.8995181
320	149.4722142
321	148.4577886
322	147.924492
323	147.7003872
324	147.0227798
325	146.5346995
326	145.5935815
327	145.0005076
328	144.7437976
329	144.5414602
330	143.6466922
331	143.1341856
332	141.9199987
333	140.6588441
334	140.6310476
335	140.3287073
336	139.6911368
337	139.0423184
338	138.7191634
339	138.4452284
340	137.8177807
341	137.3692299
342	137.0571063
343	136.2366544
344	135.5145788
345	134.6971639
346	134.372918
347	133.5760747
348	132.7406213
349	132.0140715
350	131.8010398
351	131.4391988
352	130.2055711
353	129.8977169
354	129.5175971
355	129.3439293
356	128.7395723
357	128.3921073
358	127.7773181
359	127.1357851
360	126.5757422
361	126.4299922
362	126.0991525
363	125.396856
364	125.1272135
365	124.7695336
366	124.4365516
367	123.4711667
368	122.6225936
369	122.0939942
370	121.8941244
371	121.3137237
372	120.9245861
373	120.8176838
374	120.7307975
375	120.1944526
376	119.4468607
377	118.8416731
378	118.3933204
379	118.0808722
380	117.6810659
381	117.6434861
382	116.9990916
383	116.3341124
384	116.2312781
385	115.8043372
386	115.7441844
387	115.618736
388	114.9760678
389	114.5077492
390	114.1198553
391	113.4413197
392	113.2883419
393	112.1678239
394	111.4331899
395	111.0754038
396	110.9621141
397	110.3741525
398	110.1086006
399	109.9303182
400	109.8039126
401	109.6126308
402	109.2546085
403	108.5240836
404	108.1110932
405	107.6662875
406	107.3047569
407	106.9926528
408	106.8401753
409	106.5742056
410	106.170221
411	106.0547609
412	105.8748911
413	105.6998824
414	104.9952124
415	104.7090668
416	104.4387735
417	103.993133
418	103.8458721
419	103.6835216
420	103.504549
421	103.4176272
422	103.1827203
423	102.6577029
424	102.2791539
425	101.852404
426	101.4057538
427	101.0625499
428	100.8719478
429	100.7571283
430	100.1439892
431	99.42256257
432	99.14210429
433	98.60286192
434	98.15108979
435	97.95985891
436	97.91271843
437	97.61428848
438	97.34096715
439	97.0898279
440	96.49779113
441	96.3224554
442	95.94188976
443	95.41116562
444	95.07757538
445	94.76007601
446	94.50544006
447	93.72248869
448	93.44970002
449	93.08954229
450	92.89923395
451	92.66660777
452	92.4402568
453	92.2072573
454	91.68581042
455	91.60777837
456	91.56019436
457	91.36885147
458	90.76568419
459	90.49201314
460	90.08355387
461	89.74669143
462	89.29266513
463	89.19508474
464	88.88563306
465	88.62104689
466	88.1885925
467	88.02451247
468	87.84744311
469	87.60844003
470	87.34001765
471	87.29938103
472	86.98701847
473	86.93400072
474	86.61816841
475	86.43617561
476	86.28066448
477	86.01278227
478	85.85426468
479	85.764903
480	85.40176959
481	85.26335958
482	85.00487031
483	84.64529849
484	84.2534291
485	84.07231184
486	83.73400035
487	83.14993058
488	82.9191811
489	82.73280737
490	82.16575146
491	82.01299741
492	81.80989108
493	81.7367322
494	81.42656019
495	81.3158295
496	81.18419955
497	80.92685572
498	80.75178789
499	80.2957779
