iter	RMSE
0	442.7639197
1	440.9725569
2	439.9878452
3	439.9159253
4	436.6684204
5	434.6667756
6	433.0358176
7	431.9976583
8	429.8499525
9	428.8989109
10	428.7786314
11	428.7182752
12	428.5166955
13	428.3941845
14	426.8028935
15	426.3934495
16	425.6257004
17	422.2456013
18	421.6426437
19	420.3012634
20	420.2782064
21	418.0628949
22	416.5415753
23	415.4856078
24	414.3888472
25	412.6037746
26	410.2846416
27	409.757744
28	409.1951198
29	408.8012432
30	408.7963083
31	407.4000525
32	405.1023997
33	403.5392057
34	403.3223484
35	401.8014576
36	401.7945615
37	399.413154
38	397.9049152
39	396.6680636
40	391.8104307
41	390.2491457
42	388.7258697
43	386.926291
44	384.4732981
45	382.8353565
46	381.4127627
47	381.1530504
48	381.1273573
49	378.9125585
50	378.8635236
51	376.6648834
52	376.5433674
53	375.1546029
54	373.6083622
55	372.9175776
56	371.6245942
57	371.6244275
58	370.9874538
59	369.2062273
60	368.1002259
61	366.8865518
62	365.8340271
63	365.8125489
64	364.5730002
65	364.5531621
66	363.5780628
67	362.0403023
68	361.3872541
69	360.8888157
70	358.4237234
71	357.5230874
72	356.3342571
73	355.2771639
74	354.3658183
75	352.3104615
76	352.1611796
77	351.115902
78	349.5647964
79	347.9788559
80	347.2329268
81	345.1817615
82	344.7380989
83	343.3091449
84	341.8936392
85	340.7183481
86	338.5642067
87	336.2167342
88	334.333769
89	333.6067698
90	332.4483734
91	331.7818057
92	331.419652
93	328.9124834
94	327.4121112
95	326.1485165
96	325.5930105
97	324.3900289
98	322.9557473
99	321.7389
100	319.6824659
101	319.1675745
102	318.252772
103	316.6398368
104	314.7329876
105	313.5037532
106	311.9671262
107	311.8393665
108	311.028184
109	310.6679246
110	309.2037524
111	308.2182655
112	306.6403642
113	304.2093421
114	304.0549568
115	301.791903
116	299.9577135
117	299.3879424
118	298.8207195
119	296.716605
120	296.1310588
121	293.5937982
122	291.267492
123	290.566556
124	289.9956556
125	289.7798809
126	287.9189868
127	287.7766222
128	286.1758303
129	284.7038356
130	284.4629612
131	284.3801476
132	283.5453754
133	282.4573099
134	281.9026287
135	280.3965877
136	280.2834762
137	279.1923836
138	277.7133088
139	277.4446272
140	276.4138965
141	273.4761392
142	272.3959648
143	271.9181056
144	271.2004568
145	271.0959971
146	269.7195788
147	268.2137716
148	267.4380749
149	267.1761454
150	265.9677385
151	265.2037841
152	265.0838702
153	263.6904319
154	263.0722271
155	263.0047778
156	262.9260685
157	262.1835517
158	261.5472514
159	260.6763246
160	260.5585196
161	260.4912429
162	260.135072
163	258.2582754
164	257.5457742
165	257.283767
166	256.1493167
167	254.7261351
168	254.4175923
169	252.8884653
170	252.580834
171	249.7711133
172	247.415577
173	245.9390492
174	244.8429485
175	243.7659995
176	243.4286628
177	242.8698402
178	241.7259202
179	241.3881102
180	240.7650141
181	239.4593219
182	237.8376361
183	236.2819417
184	235.9114378
185	234.4455753
186	233.9587302
187	233.026962
188	232.9990781
189	232.5878336
190	232.2706376
191	232.1136083
192	231.0224133
193	230.4876096
194	229.4892182
195	228.1731359
196	228.1522418
197	226.969567
198	224.8886406
199	224.0684609
200	223.0735327
201	222.660887
202	222.0315525
203	220.9860077
204	220.8817546
205	220.307499
206	218.2947299
207	217.4316368
208	216.676526
209	216.1162129
210	215.8326175
211	214.4395198
212	213.279637
213	212.2857343
214	212.0435413
215	211.911416
216	211.3750029
217	209.87654
218	209.8464461
219	209.6903906
220	209.5491234
221	209.4496715
222	209.1207811
223	208.3332611
224	208.2217578
225	207.4084914
226	206.0275544
227	204.7003107
228	203.3637011
229	202.8157143
230	202.5036971
231	202.3645404
232	202.0971467
233	201.817177
234	201.2155736
235	200.4485203
236	199.3351757
237	198.0558582
238	197.6414689
239	197.5633916
240	197.3999283
241	195.9801628
242	194.8202688
243	193.7962759
244	193.6323602
245	191.8756414
246	190.2704863
247	189.319547
248	187.4655791
249	187.1023155
250	186.740899
251	186.2238151
252	185.3377765
253	185.1296169
254	184.2356106
255	183.9762722
256	183.126511
257	183.0213133
258	182.5229726
259	181.8669927
260	180.1735239
261	179.5173639
262	179.4066656
263	179.2192452
264	178.6457641
265	178.1683442
266	177.9315299
267	177.2330794
268	177.2122
269	176.0197487
270	175.6810573
271	175.653227
272	175.5468006
273	175.0436069
274	173.9930563
275	173.1486205
276	172.6474054
277	172.3230904
278	171.5115944
279	171.3957792
280	170.0545407
281	169.0743499
282	168.914232
283	168.1454586
284	167.4761421
285	167.33555
286	166.5935358
287	166.0152236
288	165.4319735
289	164.2744918
290	164.1719841
291	163.3531606
292	162.8659325
293	162.465728
294	161.9062674
295	160.7563449
296	160.4539484
